1	8	2	880243962
1	2	5	880631262
1	48	1	880588508
1	18	2	880750800
1	16	5	880439898
1	15	2	880471029
1	9	5	880291704
1	7	1	880795667
1	35	2	880732052
1	6	4	880356778
1	38	3	880163032
1	28	2	880800581
1	3	3	880107175
1	49	1	880398382
1	41	1	880376417
2	39	3	880869693
2	17	5	880928463
2	3	3	880605397
2	47	2	880738797
2	30	1	880048050
2	35	2	880810620
2	8	3	880083667
2	25	2	880908573
2	6	1	880398591
2	36	3	880475435
3	24	4	880283060
3	11	5	880230283
3	50	3	880883794
3	23	1	880240174
3	14	1	880844151
3	43	3	880420651
3	18	3	880069403
3	42	2	880957492
3	5	5	880918938
3	39	3	880222955
3	49	4	880414850
3	35	4	880149811
3	16	3	880146413
3	40	2	880781177
3	30	5	880565158
4	48	4	880095325
4	38	1	880902931
4	28	1	880160265
4	49	2	880830555
4	26	4	880625380
4	24	1	880403457
4	15	4	880624834
4	9	4	880554816
4	33	3	880580099
5	44	3	880805934
5	47	3	880116970
5	8	3	880455884
5	35	2	880475763
5	49	1	880757168
6	33	5	880208573
6	49	2	880392077
6	12	2	880565579
6	50	5	880963110
6	7	1	880628038
6	41	3	880512340
6	20	1	880117301
6	45	3	880921406
6	47	3	880251083
7	16	1	880797549
7	37	5	880803035
7	6	2	880134628
7	47	4	880992842
7	32	5	880173148
8	34	3	880459381
8	39	5	880473417
8	28	1	880259947
8	14	2	880067136
8	35	3	880022056
8	45	5	880580828
8	13	2	880617024
8	20	2	880007540
8	26	1	880742225
9	4	2	880822733
9	15	4	880846721
9	5	4	880199659
9	3	1	880101639
9	22	4	880371507
9	48	4	880431071
9	33	4	880905798
9	16	1	880706073
9	18	1	880063556
9	32	4	880763587
9	14	3	880839482
9	35	1	880260735
9	9	2	880199448
9	37	5	880470405
9	31	2	880442374
10	18	1	880683823
10	30	5	880876638
10	16	1	880097793
10	5	2	880174389
10	29	4	880509231
10	36	4	880224130
10	7	4	880946279
11	11	3	880443555
11	25	5	880694022
11	1	4	880162316
11	17	2	880311120
11	30	2	880061324
12	48	2	880071849
12	35	5	880071262
12	4	2	880423389
12	21	1	880987335
12	50	5	880258175
12	46	5	880623398
12	38	1	880649468
12	31	1	880439589
12	33	5	880592683
12	34	5	880331737
12	11	3	880214181
12	45	3	880250280
12	42	3	880415011
12	6	2	880704318
13	20	3	880923653
13	30	1	880921981
13	21	2	880387477
13	5	3	880165409
13	1	4	880874244
13	49	5	880737715
13	40	3	880641390
13	37	5	880008203
13	7	5	880313921
13	47	1	880984539
13	35	2	880277312
13	14	1	880932931
13	33	1	880778480
13	17	5	880162998
13	9	3	880295442
14	14	1	880003717
14	46	3	880808577
14	22	2	880668061
14	50	3	880169430
14	44	4	880578478
14	41	4	880588153
14	17	1	880117308
14	33	1	880990957
14	32	2	880572092
14	49	1	880875136
14	4	3	880610805
14	6	5	880155287
14	28	4	880133636
14	18	1	880323232
15	3	5	880785884
15	23	2	880970733
15	14	2	880906604
15	44	2	880838742
15	16	2	880924231
15	43	4	880025990
15	7	2	880772343
15	49	3	880820391
15	36	4	880841204
15	27	2	880279766
16	45	4	880366643
16	7	3	880860394
16	25	2	880233752
16	3	1	880692094
16	31	2	880417821
16	15	3	880292136
16	13	1	880810891
17	23	3	880187241
17	42	5	880278361
17	33	1	880113668
17	26	5	880455673
17	44	3	880763934
17	35	3	880457592
17	22	5	880536265
17	2	1	880403906
17	8	5	880199312
18	3	3	880452248
18	46	1	880994967
18	28	3	880653425
18	1	3	880695612
18	34	1	880754717
18	35	3	880531756
18	44	3	880699287
18	43	4	880342027
18	13	4	880731076
19	36	5	880315568
19	9	4	880574553
19	13	1	880318635
19	27	3	880220392
19	43	4	880823927
19	25	5	880636130
19	44	3	880487575
19	12	4	880463638
19	40	2	880536004
20	48	3	880235552
20	11	2	880154511
20	43	1	880048458
20	6	2	880498216
20	19	5	880891014
20	33	1	880477538
20	50	4	880929181
20	41	5	880203880
20	40	4	880518392
20	22	4	880255836
20	47	2	880687926
20	16	1	880936021
